x,xnorm,y
4,0.000974184,15.49153658
2,0.000487092,32.09888118
4,0.000974184,36.38105603
12,0.002922552,30.23808001
12,0.002922552,20.96536189
8,0.001948368,19.52760956
5,0.00121773,23.24670588
9,0.002191914,42.90598362
18,0.004383829,30.1535576
7,0.001704822,39.99112191
19,0.004627375,8.925524397
9,0.002191914,6.266586463
12,0.002922552,5.582012557
3,0.000730638,4.923143114
23,0.005601559,28.01842248
19,0.004627375,30.22902313
11,0.002679006,10.15159245
26,0.006332197,4.736013441
34,0.008280565,22.77598073
29,0.007062835,21.95804353
31,0.007549927,44.82910219
26,0.006332197,42.77527209
19,0.004627375,45.70322465
34,0.008280565,6.896843578
40,0.009741841,3.466306289
26,0.006332197,15.7045518
25,0.006088651,6.533053964
42,0.010228933,27.33830987
42,0.010228933,19.80044352
45,0.010959571,35.55593193
35,0.008524111,20.66267497
32,0.007793473,37.77579222
51,0.012420848,29.46502144
60,0.014612762,32.56808172
59,0.014369216,35.30405428
59,0.014369216,11.22431393
65,0.015830492,14.45464681
46,0.011203117,2.010793309
36,0.008767657,31.29998587
18,0.004383829,40.00796397
75,0.018265952,20.61630134
73,0.01777886,24.64830087
69,0.016804676,8.642898942
48,0.011690209,18.28960776
51,0.012420848,15.80624697
44,0.010716025,30.12874854
50,0.012177302,0.359043153
46,0.011203117,23.60809871
41,0.009985387,12.87934305
72,0.017535314,31.37319456
92,0.022406235,18.99356297
91,0.022162689,35.41763971
84,0.020457867,9.697674718
83,0.020214321,7.348091095
80,0.019483682,4.070040503
75,0.018265952,3.283628201
114,0.027764247,28.48917983
117,0.028494886,33.88825027
119,0.028981978,35.44664545
110,0.026790063,39.50017415
96,0.023380419,23.23898421
110,0.026790063,48.98206337
104,0.025328787,43.82057705
99,0.024111057,43.98739881
57,0.013882124,26.03829132
55,0.013395032,28.4777126
51,0.012420848,35.97624701
55,0.013395032,18.50411013
79,0.019240136,5.96383824
75,0.018265952,14.51624955
60,0.014612762,30.61699755
66,0.016074038,25.78478161
73,0.01777886,17.88048235
68,0.01656113,15.21792438
65,0.015830492,11.89213354
84,0.020457867,11.22373315
86,0.020944959,8.564807451
71,0.017291768,42.00662715
68,0.01656113,39.87900494
67,0.016317584,44.90068578
64,0.015586946,45.88275522
57,0.013882124,40.74299364
69,0.016804676,47.61175023
71,0.017291768,44.02024778
73,0.01777886,44.32175719
80,0.019483682,39.27929084
77,0.018753044,37.86217798
73,0.01777886,26.38491574
74,0.018022406,22.92103292
78,0.01899659,31.21878909
100,0.024354603,16.93128925
99,0.024111057,18.00710749
98,0.023867511,20.93332293
94,0.022893327,21.73777067
87,0.021188505,15.41487398
89,0.021675597,17.4740049
85,0.020701413,25.89371702
88,0.021432051,0.495279071
53,0.01290794,37.32942445
52,0.012664394,43.65448857
56,0.013638578,41.67875779
41,0.009985387,44.18757195
45,0.010959571,23.54422053
28,0.006819289,13.66336183
22,0.005358013,7.044393293
23,0.005601559,9.080382099
23,0.005601559,2.482962146
34,0.008280565,18.93296873
33,0.008037019,18.13643004
34,0.008280565,16.30958287
41,0.009985387,13.6221803
78,0.01899659,31.79304244
80,0.019483682,25.9971367
84,0.020457867,33.05857883
57,0.013882124,8.799788098
131,0.03190453,20.5607662
118,0.028738432,26.7026702
116,0.02825134,14.22361006
130,0.031660984,28.68805299
135,0.032878714,20.55962608
98,0.023867511,27.76658108
101,0.024598149,24.18968407
105,0.025572333,24.24120409
84,0.020457867,36.77867357
87,0.021188505,48.2335189
89,0.021675597,44.40125151
105,0.025572333,35.9138644
112,0.027277155,33.14586214
121,0.02946907,31.17778711
117,0.028494886,31.4974547
116,0.02825134,34.4609209
120,0.029225524,42.31661649
116,0.02825134,45.49724762
127,0.030930346,35.80429919
130,0.031660984,33.79500763
130,0.031660984,37.60288455
117,0.028494886,0.855176586
105,0.025572333,8.297917234
118,0.028738432,42.63172949
114,0.027764247,41.0380972
117,0.028494886,41.28301376
134,0.032635168,46.71172392
141,0.03433999,35.31967487
127,0.030930346,23.94349627
132,0.032148076,18.32596767
133,0.032391622,16.18956946
107,0.026059425,9.133078081
131,0.03190453,4.57113774
129,0.031417438,3.411217931
128,0.031173892,1.290882237
130,0.031660984,1.790233733
141,0.03433999,16.02519892
142,0.034583536,13.52961008
141,0.03433999,12.98217589
155,0.037749635,32.39399571
150,0.036531905,24.96418561
147,0.035801266,17.07594289
165,0.040185095,24.8683483
162,0.039454457,8.646215466
164,0.039941549,5.206402606
163,0.039698003,2.624946197
155,0.037749635,2.330365203
175,0.042620555,35.38884491
170,0.041402825,35.66337089
183,0.044568924,31.43284202
177,0.043107647,20.84809359
157,0.038236727,26.99966325
156,0.037993181,24.21846017
157,0.038236727,15.25803534
151,0.036775451,21.01210573
153,0.037262543,28.31731741
147,0.035801266,43.14158638
142,0.034583536,44.61441126
148,0.036044812,7.854510264
139,0.033852898,1.00180965
166,0.040428641,40.35269815
117,0.028494886,10.88946976
120,0.029225524,6.327541695
24,0.005845105,18.94767788
26,0.006332197,22.08518781
5,0.00121773,11.2278705
110,0.026790063,29.77251645
113,0.027520701,25.0434848
174,0.042377009,2.111089635
165,0.040185095,2.730203401
160,0.038967365,34.3272743
157,0.038236727,33.40305266
156,0.037993181,28.99085488
167,0.040672187,35.09167905
170,0.041402825,31.66615609
181,0.044081831,8.085955257
166,0.040428641,32.9939268
164,0.039941549,27.83185096
166,0.040428641,25.66713116
167,0.040672187,21.05558999
170,0.041402825,27.0072874
169,0.041159279,21.83270453
170,0.041402825,22.58687931
169,0.041159279,15.75578573
175,0.042620555,10.39957681
167,0.040672187,12.25901733
176,0.042864101,36.22594314
179,0.043594739,30.54978788
176,0.042864101,25.12762773
164,0.039941549,47.49078889
177,0.043107647,22.8806994
179,0.043594739,19.46762448
