x,xnorm,y
43,0.005348259,31.75492431
46,0.005721393,31.12581447
31,0.003855721,33.37601891
3,0.000373134,4.847310984
39,0.004850746,40.4802748
23,0.002860697,46.89215262
10,0.001243781,41.42134819
10,0.001243781,38.94125825
7,0.000870647,37.9664077
44,0.005472637,9.410132845
45,0.005597015,6.684241461
52,0.006467662,0.647977047
51,0.006343284,4.85110367
52,0.006467662,8.052838451
4,0.000497512,48.68641697
19,0.002363184,48.69602091
20,0.002487562,47.2965382
28,0.003482587,47.66330601
31,0.003855721,43.79626595
58,0.00721393,21.02979117
61,0.007587065,1.859308107
64,0.007960199,30.91083877
24,0.002985075,14.50682176
7,0.000870647,7.762885117
7,0.000870647,7.762885117
5,0.000621891,6.503349033
59,0.007338308,4.664026334
50,0.006218905,29.65284644
50,0.006218905,34.54398259
52,0.006467662,30.84050489
51,0.006343284,34.32547321
53,0.00659204,36.81728212
56,0.006965174,17.84079611
26,0.003233831,3.823813531
28,0.003482587,2.940450369
30,0.003731343,0.70526568
17,0.002114428,20.26299835
32,0.0039801,11.94015775
33,0.004104478,19.59318053
38,0.004726368,28.09197935
39,0.004850746,24.1651315
25,0.003109453,11.68524598
25,0.003109453,13.8126312
18,0.002238806,32.47192404
52,0.006467662,27.03648991
52,0.006467662,27.03648991
9,0.001119403,36.14956125
10,0.001243781,37.749041
65,0.008084577,13.74059625
62,0.007711443,0.178263542
22,0.002736318,25.48102639
66,0.008208955,33.2293563
67,0.008333333,30.26398988
68,0.008457711,19.76188015
73,0.009079602,38.61861421
58,0.00721393,35.63554984
60,0.007462687,40.86486369
87,0.010820896,18.02424805
110,0.013681592,22.28677913
116,0.014427861,39.0984819
79,0.009825871,40.42558636
75,0.009328358,27.245968
70,0.008706468,16.18287228
71,0.008830846,3.717865947
63,0.007835821,7.2188955
96,0.011940299,34.15307514
99,0.012313433,34.26071999
97,0.012064677,27.48583053
91,0.011318408,9.456866637
59,0.007338308,22.53156706
62,0.007711443,23.27849266
54,0.006716418,33.868135
80,0.009950249,7.307064619
90,0.01119403,15.95857585
79,0.009825871,31.60899175
70,0.008706468,28.43290736
54,0.006716418,27.56365996
55,0.006840796,29.7126609
106,0.01318408,3.328925443
106,0.01318408,4.982135083
114,0.014179104,14.6819127
116,0.014427861,16.96880704
117,0.014552239,36.2114607
105,0.013059701,20.67563544
108,0.013432836,28.14578718
103,0.012810945,46.42103709
93,0.011567164,35.35976808
108,0.013432836,24.91885809
116,0.014427861,19.49265094
119,0.014800995,24.87951735
91,0.011318408,42.22798039
85,0.010572139,27.40392104
113,0.014054726,43.61194933
125,0.015547264,7.039664162
124,0.015422886,8.4265736
130,0.016169154,0.880425779
116,0.014427861,25.41852266
116,0.014427861,26.73783216
116,0.014427861,28.12886946
122,0.015174129,48.12419219
124,0.015422886,17.61236588
139,0.017288557,0.724566181
141,0.017537313,2.182633415
87,0.010820896,4.631477874
87,0.010820896,7.174825081
111,0.01380597,4.134260442
107,0.013308458,11.26423225
117,0.014552239,29.11141792
101,0.012562189,35.17362497
97,0.012064677,45.36376741
95,0.01181592,43.013238
97,0.012064677,42.6945852
124,0.015422886,6.60327946
93,0.011567164,11.77518283
120,0.014925373,12.78526366
119,0.014800995,11.54187196
119,0.014800995,8.210723598
120,0.014925373,9.765325138
117,0.014552239,43.33072323
98,0.012189055,29.57744371
104,0.012935323,38.04092911
105,0.013059701,39.38339624
108,0.013432836,46.90871014
110,0.013681592,43.24803977
124,0.015422886,34.47333664
140,0.017412935,24.93725213
149,0.018532338,41.82796126
130,0.016169154,30.59129878
124,0.015422886,36.59575009
127,0.01579602,36.22653941
124,0.015422886,33.78836948
125,0.015547264,31.66291761
127,0.01579602,34.58701749
135,0.016791045,5.717077535
141,0.017537313,9.701102525
142,0.017661692,10.42467454
144,0.017910448,9.999329272
145,0.018034826,33.80123705
140,0.017412935,14.58935791
140,0.017412935,16.75235045
169,0.0210199,38.94200184
196,0.024378109,32.01018969
198,0.024626866,18.5338877
198,0.024626866,20.68509202
173,0.021517413,34.28126672
174,0.021641791,41.08213458
170,0.021144279,50.00024691
137,0.017039801,42.54415973
