x,y2,xnorm
923,14.04719405,0.410769915
861,38.88693434,0.38317757
840,40.89799745,0.373831776
777,45.49393614,0.345794393
804,28.0083736,0.357810414
803,26.66500206,0.357365376
467,27.89624883,0.207832666
471,22.41319338,0.209612817
464,7.145810641,0.206497552
716,2.375434066,0.318647085
1019,13.41188528,0.453493547
1095,33.2927694,0.487316422
1422,48.97000518,0.632843792
1417,48.44166507,0.630618603
1228,19.79480915,0.546506453
1208,44.26820706,0.537605696
1323,28.23526463,0.588785047
1432,43.90452901,0.63729417
1482,29.909999,0.659546061
1218,35.97300806,0.542056075
1156,5.909472891,0.514463729
1168,43.60092966,0.519804183
1275,13.28492899,0.567423231
1323,17.70706353,0.588785047
1234,1.032253481,0.54917668
1538,46.82495395,0.68446818
1652,20.33436873,0.735202492
1712,39.79924919,0.761904762
1817,11.80294942,0.808633734
1840,12.54183485,0.818869604
802,0.976073481,0.356920338
794,28.43933588,0.353360036
726,21.14590197,0.323097463
705,36.87386243,0.313751669
882,40.31188098,0.392523364
934,32.5751179,0.415665332
961,20.98381254,0.427681353
965,23.98610746,0.429461504
881,17.01937109,0.392078327
844,0.485688858,0.375611927
582,1.865486367,0.259012016
467,11.0046281,0.207832666
569,42.90369766,0.253226524
553,32.06499155,0.246105919
283,29.80621575,0.125945705
346,23.81996492,0.153983089
338,33.89745119,0.150422786
870,14.34649957,0.387182911
971,16.28469276,0.432131731
1090,34.31525353,0.485091233
1120,31.92378754,0.498442368
1115,24.90590984,0.496217178
1229,3.092324129,0.546951491
1583,15.30199529,0.704494882
1576,28.85428576,0.701379617
1633,14.16981474,0.726746773
1736,26.30505191,0.77258567
1635,25.78605703,0.727636849
1101,5.093026561,0.489986649
1086,4.461461632,0.483311081
950,19.66969065,0.422785937
952,36.62871374,0.423676012
937,32.96948756,0.417000445
836,41.34418956,0.372051624
614,29.79875772,0.273253227
935,19.29286663,0.416110369
1420,40.37368712,0.631953716
1301,4.1809609,0.578994215
1356,49.62528352,0.603471295
1352,40.94944955,0.601691144
502,10.48481614,0.22340899
506,2.360404183,0.225189141
767,11.95267301,0.341344014
832,27.82979338,0.370271473
739,34.45448743,0.328882955
693,26.91540214,0.308411215
11,22.7005562,0.004895416
789,47.77926358,0.351134846
356,47.74626729,0.158433467
515,6.705023838,0.229194482
1088,11.54961681,0.484201157
879,22.17718346,0.391188251
1179,19.47910655,0.524699599
1232,46.96851312,0.548286604
1212,47.26288874,0.539385848
1472,39.74264995,0.655095683
1462,37.58000728,0.650645305
1579,7.913794913,0.702714731
1578,11.75189416,0.702269693
2016,1.561693236,0.897196262
1780,8.855266966,0.792167334
2232,7.42361978,0.993324433
2187,3.204580641,0.97329773
2193,0.970164313,0.975967957
2178,2.801763938,0.96929239
2187,3.262662674,0.97329773
2018,38.03108357,0.898086337
2245,33.49261294,0.999109924
2235,30.61299143,0.994659546
1906,29.84099348,0.848242101
1826,16.37659822,0.812639074
6,26.85817097,0.002670227
6,21.79970788,0.002670227
8,7.175143154,0.003560303
4,8.075843343,0.001780151
370,14.6741231,0.164663996
723,28.39776007,0.32176235
712,0.863511575,0.316866934
1732,7.111085998,0.770805518
609,28.91797079,0.271028037
616,25.73551681,0.274143302
612,23.62479274,0.272363151
591,46.35366146,0.263017356
626,15.41008503,0.27859368
637,3.166245728,0.283489097
1554,2.079462391,0.691588785
1627,44.86015118,0.724076547
1614,49.07804459,0.718291055
1643,39.94684625,0.731197152
1659,18.719469,0.738317757
1657,21.01558841,0.737427681
1672,6.857590524,0.744103249
1748,8.41601126,0.777926124
1814,40.01496136,0.80729862
2026,13.50237536,0.90164664
2019,49.22970789,0.898531375
2238,45.88491526,0.99599466
2245,31.90339515,0.999109924
2222,12.34656129,0.988874054
2241,18.43240668,0.997329773
2245,14.53892184,0.999109924
2177,5.207730883,0.968847352
2176,49.79878372,0.968402314
2238,37.1861807,0.99599466
2238,40.71012123,0.99599466
2204,3.132269858,0.980863373
2203,49.45442604,0.980418336
2196,49.9973065,0.977303071
2247,47.43375836,1
2236,48.89104928,0.995104584
2231,25.91089744,0.992879395
2188,34.42182876,0.973742768
2216,16.64326114,0.986203827
2220,24.2194273,0.987983979
2205,0.29033131,0.981308411
2201,35.1859836,0.97952826
2193,41.14745584,0.975967957
2245,48.89179381,0.999109924
2232,29.75667925,0.993324433
2223,7.836863174,0.989319092
2196,16.19965478,0.977303071
2206,15.7271877,0.981753449
2170,0.454953266,0.965732087
2153,10.94173336,0.958166444
2156,19.13726784,0.959501558
2147,30.26861533,0.955496217
2247,5.522094137,1
2004,13.68080944,0.891855808
2020,47.4151291,0.898976413
2044,36.42210111,0.909657321
1920,10.35355074,0.85447263
1911,45.85604625,0.85046729
1845,45.71105917,0.821094793
1811,45.01072548,0.805963507
1818,18.74039603,0.809078772
2057,17.70506416,0.915442813
2052,27.12798123,0.913217623
2050,27.28921547,0.912327548
2054,26.6886467,0.914107699
2057,43.24167786,0.915442813
2103,20.62547689,0.935914553
2106,29.16702243,0.937249666
2165,35.08867235,0.963506898
2125,1.973961934,0.945705385
2124,47.7132361,0.945260347
2097,15.32740054,0.933244326
2232,20.89394959,0.993324433
2228,33.3559684,0.991544281
2141,28.78334615,0.95282599
2145,20.3766282,0.954606142
2151,5.470228621,0.957276368
2172,15.92491062,0.966622163
2153,41.84705614,0.958166444
2179,34.92032661,0.969737428
2241,39.50235396,0.997329773
1945,36.66353408,0.865598576
1943,36.95109479,0.8647085
1945,29.86454645,0.865598576
1936,41.86879699,0.861593235
1581,22.09222261,0.703604806
1580,43.33562459,0.703159769
1598,8.020993027,0.711170449
1588,42.92858195,0.706720071
1595,47.62291948,0.709835336
1647,4.36053219,0.732977303
1654,21.10108661,0.736092568
1787,36.53679598,0.795282599
1798,17.48814278,0.800178015
264,32.18966606,0.117489987
278,25.76526883,0.123720516
277,27.19385264,0.123275478
264,17.33376206,0.117489987
315,21.39064458,0.140186916
293,36.78247436,0.130396084
265,36.03147708,0.117935024
240,29.82198723,0.106809079
224,7.051636039,0.099688474
309,39.61863994,0.137516689
632,23.7539364,0.281263907
642,41.7556268,0.285714286
365,31.4810437,0.162438807
303,30.70700466,0.134846462
721,21.22685983,0.320872274
730,25.43034231,0.324877615
944,25.83401171,0.42011571
976,25.37729396,0.43435692
978,28.40126916,0.435246996
1618,37.59179139,0.720071206
1624,24.62939657,0.722741433
1620,25.1179305,0.720961282
1479,7.273495602,0.658210948
1502,13.6212048,0.668446818
1506,24.36540126,0.670226969
1553,43.16102731,0.691143747
1571,37.61526829,0.699154428
1497,34.46146244,0.666221629
649,35.2535705,0.288829551
634,32.46153398,0.282153983
569,42.48660886,0.253226524
543,16.90586252,0.241655541
350,7.657638274,0.15576324
266,14.82372094,0.118380062
321,13.60952231,0.142857143
45,36.0774863,0.020026702
382,8.724093488,0.17000445
385,2.965520263,0.171339564
201,2.79074767,0.089452603
502,14.73597621,0.22340899
383,4.689904482,0.170449488
443,39.58881831,0.197151758
598,27.13076862,0.266132621
508,13.85491129,0.226079217
534,21.49217476,0.2376502
295,5.906074561,0.131286159
385,30.40514612,0.171339564
387,37.40736215,0.17222964
345,32.23613832,0.153538051
352,25.45463884,0.156653316
442,8.838274711,0.19670672
227,33.87609932,0.101023587
75,1.2941851,0.033377837
803,7.910096229,0.357365376
819,17.21759659,0.364485981
902,17.3823867,0.401424121
961,2.474584303,0.427681353
955,9.745572563,0.425011126
889,18.26755493,0.395638629
694,6.712447347,0.308856253
297,33.92966417,0.132176235
723,5.561672162,0.32176235
1188,37.1095591,0.52870494
1358,2.82922637,0.604361371
1407,27.4376286,0.626168224
1123,9.530683093,0.499777481
743,28.53838993,0.330663106
902,10.77531507,0.401424121
1010,17.61724743,0.449488206
1131,19.7482671,0.503337784
1108,1.215598041,0.493101914
1178,48.88485377,0.524254562
1177,46.76380679,0.523809524
1437,1.253886162,0.639519359
1109,43.89393557,0.493546951
764,9.326081123,0.340008901
867,12.55319385,0.385847797
888,40.76207676,0.395193591
866,42.16740489,0.385402759
654,18.67009322,0.29105474
3,34.9018131,0.001335113
10,24.77140786,0.004450378
350,38.9955262,0.15576324
399,18.02156293,0.177570093
368,23.61968158,0.163773921
467,23.92737448,0.207832666
435,38.74742187,0.193591455
472,27.26691674,0.210057855
497,38.97148091,0.221183801
519,34.06189602,0.230974633
612,49.46818119,0.272363151
639,24.34250569,0.284379172
658,20.00731658,0.292834891
524,12.40813525,0.233199822
531,16.49797997,0.236315087
83,41.51088001,0.03693814
70,46.20148207,0.031152648
719,26.96003714,0.319982198
656,7.529540222,0.291944815
707,32.97924431,0.314641745
689,22.02925381,0.306631064
667,43.20434427,0.296840231
630,42.87681986,0.280373832
903,41.47381696,0.401869159
804,21.56070881,0.357810414
1159,48.73536574,0.515798843
1646,7.346763171,0.732532265
2204,44.08788944,0.980863373
2196,46.68624947,0.977303071
2098,12.68829689,0.933689364
2206,17.39508885,0.981753449
2180,5.93770839,0.970182466
1906,23.19327328,0.848242101
1918,39.76085075,0.853582555
1804,7.597822411,0.802848242
1923,22.70591087,0.855807744
1929,36.84876915,0.858477971
1878,3.512458031,0.835781041
1820,37.11635056,0.809968847
1803,20.11736005,0.802403204
1374,40.18444288,0.611481976
1070,47.12389001,0.476190476
1079,44.95247315,0.480195817
1054,14.4484111,0.469069871
419,26.62341536,0.18647085
826,7.715316825,0.367601246
635,4.833098645,0.282599021
694,8.720365531,0.308856253
636,0.625139636,0.283044059
1044,24.5425728,0.464619493
1049,40.69670538,0.466844682
809,33.6602942,0.360035603
1851,14.54688894,0.82376502
2091,44.2869229,0.930574099
2051,13.12841798,0.912772586
2062,39.75362154,0.917668002
2049,0.71852881,0.91188251
2044,26.34699196,0.909657321
2222,10.10134104,0.988874054
2234,46.86290727,0.994214508
6,7.177166203,0.002670227
8,42.07364797,0.003560303
12,41.84363742,0.005340454
4,23.23286309,0.001780151
141,44.34228615,0.062750334
78,42.34555526,0.034712951
93,19.18172211,0.041388518
116,34.0284665,0.051624388
117,20.191773,0.052069426
303,22.46484873,0.134846462
334,41.25996786,0.148642635
380,46.26429215,0.169114375
316,18.30518226,0.140631954
579,44.22365264,0.257676903
606,33.01071508,0.269692924
661,44.7686368,0.294170004
642,32.04351497,0.285714286
350,37.3915611,0.15576324
439,41.87016271,0.195371607
485,32.78471628,0.215843347
504,49.44600635,0.224299065
545,28.78106985,0.242545616
575,37.42606837,0.255896751
575,9.108496278,0.255896751
583,45.90047023,0.259457054
1164,26.28338594,0.518024032
1166,9.113341124,0.518914108
1098,35.04440416,0.488651535
1265,13.35772271,0.562972853
1609,46.96596149,0.716065866
1642,20.6564257,0.730752114
1730,15.6191878,0.769915443
1631,38.42971224,0.725856698
1691,7.675056705,0.752558968
1689,0.932846525,0.751668892
1669,30.29816982,0.742768135
1726,4.545553033,0.768135291
1718,20.617317,0.764574989
1846,17.0261528,0.821539831
1861,24.44782531,0.828215398
1863,32.80098776,0.829105474
1928,47.96057493,0.858032933
1938,22.27385606,0.862483311
1896,39.04021604,0.843791722
1915,47.42847964,0.852247441
1914,37.5509554,0.851802403
1816,6.481518007,0.808188696
1815,21.61715735,0.807743658
1821,18.82821722,0.810413885
1822,17.48557562,0.810858923
1822,39.99191375,0.810858923
1759,38.09864261,0.78282154
1744,28.05985172,0.776145972
1748,24.16135186,0.777926124
1788,26.5169551,0.795727637
1788,24.04188457,0.795727637
1651,3.125296829,0.734757454
1657,5.290979858,0.737427681
1660,26.15717865,0.738762795
1632,29.81792723,0.726301736
1617,40.49974237,0.719626168
1636,18.86442825,0.728081887
1639,13.58022504,0.729417
1656,35.84535842,0.736982644
1702,34.43336109,0.757454384
1611,23.62091211,0.716955941
1639,26.98036834,0.729417
1600,26.6253654,0.712060525
1609,10.22335105,0.716065866
1575,47.7100041,0.700934579
1652,25.32970361,0.735202492
1649,7.470955253,0.733867379
1647,3.660939672,0.732977303
1743,18.09864135,0.775700935
1772,35.62693864,0.788607032
1782,20.20385699,0.79305741
1786,16.01665575,0.794837561
1777,16.97549883,0.790832221
1737,6.074781513,0.773030708
1738,6.981217972,0.773475745
1739,13.90100441,0.773920783
1776,28.54062838,0.790387183
1893,24.55372812,0.842456609
1889,32.27726251,0.840676457
1915,36.18347923,0.852247441
1965,10.56101404,0.874499332
1961,9.789909119,0.872719181
1948,46.6088155,0.866933689
2035,14.15571775,0.90565198
2031,22.4518467,0.903871829
2027,8.882324473,0.902091678
2123,12.75886367,0.944815309
2125,12.41485914,0.945705385
2124,31.93396018,0.945260347
2156,40.96589893,0.959501558
2232,47.00421899,0.993324433
2228,47.89787362,0.991544281
2230,10.0218983,0.992434357
2224,48.15957276,0.98976413
2217,12.7211,0.986648865
2231,43.91996978,0.992879395
2235,31.87064313,0.994659546
2228,35.0962318,0.991544281
2228,37.43310974,0.991544281
2226,16.79366271,0.990654206
2247,22.08873401,1
2229,40.30153358,0.991989319
2231,10.60479757,0.992879395
2220,43.76215712,0.987983979
2238,17.51794176,0.99599466
2239,17.14106321,0.996439697
2233,12.18251585,0.99376947
2193,30.96978799,0.975967957
2204,37.7142192,0.980863373
2197,11.99744384,0.977748109
2173,26.21183663,0.967067201
2213,24.37806333,0.984868714
2138,19.11236347,0.951490877
