x,xnorm,y
12,0.003564004,11.43278279
12,0.003564004,20.73243321
46,0.013662014,43.90598872
38,0.011286011,38.01013332
45,0.013365013,32.71000845
49,0.014553015,30.07737418
17,0.005049005,28.64403847
35,0.01039501,19.9888588
35,0.01039501,22.65329236
56,0.016632017,1.637461818
57,0.016929017,28.33096553
46,0.013662014,16.76309293
74,0.021978022,56.00289168
70,0.020790021,46.76717576
68,0.02019602,28.32789383
77,0.022869023,17.8611714
64,0.019008019,12.6209885
41,0.012177012,43.76168497
68,0.02019602,8.58565028
46,0.013662014,50.42621727
42,0.012474012,52.67349575
35,0.01039501,49.70432092
35,0.01039501,30.14346822
57,0.016929017,31.20312176
45,0.013365013,26.33231984
42,0.012474012,11.55454784
66,0.01960202,1.809867782
75,0.022275022,6.25838117
73,0.021681022,4.347956887
77,0.022869023,5.046011269
62,0.018414018,1.2931783
39,0.011583012,17.09164132
46,0.013662014,59.82673384
43,0.012771013,59.50770305
73,0.021681022,21.89898846
73,0.021681022,34.97521578
57,0.016929017,49.20568071
54,0.016038016,7.78878765
83,0.024651025,19.94265119
50,0.014850015,21.36092313
72,0.021384021,50.20511299
70,0.020790021,53.29737069
70,0.020790021,51.67144454
72,0.021384021,59.46528217
74,0.021978022,33.64238212
90,0.026730027,15.84783296
94,0.027918028,17.78253695
92,0.027324027,17.72716339
90,0.026730027,12.28271689
89,0.026433026,11.26397159
86,0.025542026,9.916531579
83,0.024651025,5.513609312
85,0.025245025,5.70643156
62,0.018414018,44.14634378
61,0.018117018,31.63114865
74,0.021978022,17.39817757
80,0.023760024,12.79494552
79,0.023463023,14.368167
81,0.024057024,15.25077219
83,0.024651025,4.067168176
69,0.02049302,48.33891922
64,0.019008019,45.71418695
58,0.017226017,51.36555764
81,0.024057024,48.24852373
82,0.024354024,55.60568683
82,0.024354024,50.96398902
86,0.025542026,37.19739432
72,0.021384021,21.25058409
83,0.024651025,39.79169821
87,0.025839026,53.69855716
84,0.024948025,25.41934802
102,0.03029403,42.17562775
94,0.027918028,39.19717032
95,0.028215028,38.11952437
109,0.032373032,44.72121507
108,0.032076032,42.37603811
111,0.032967033,53.48761148
113,0.033561034,54.71202964
119,0.035343035,53.62539184
57,0.016929017,45.54640105
53,0.015741016,18.24809961
52,0.015444015,19.24656756
41,0.012177012,1.353445104
33,0.00980101,3.148518721
32,0.00950401,5.106084885
95,0.028215028,55.1327582
