x,xnorm,y
63,0.008838384,10.49766869
34,0.004769921,38.49115736
37,0.005190797,10.37133562
60,0.008417508,34.81087865
64,0.008978676,43.14679146
49,0.006874299,47.04371837
99,0.013888889,3.154580796
117,0.016414141,6.464149893
84,0.011784512,10.23410487
116,0.01627385,36.21412294
117,0.016414141,25.61029047
115,0.016133558,6.484972694
101,0.014169473,24.98600489
82,0.011503928,48.04431699
144,0.02020202,17.68052051
160,0.022446689,26.2693695
172,0.024130191,0.508467797
173,0.024270483,8.011246187
195,0.027356902,31.48020224
174,0.024410774,18.38906745
179,0.025112233,46.08737339
178,0.024971942,13.44539081
182,0.025533109,7.70194617
192,0.026936027,6.450404165
201,0.028198653,9.294208653
203,0.028479237,30.44550924
206,0.028900112,39.06493434
218,0.030583614,33.78173321
186,0.026094276,20.00349661
214,0.030022447,22.08756477
238,0.03338945,25.10417495
238,0.03338945,21.00051373
260,0.03647587,9.495734937
265,0.037177329,12.53085965
273,0.038299663,34.94117494
260,0.03647587,26.76054711
302,0.042368126,18.4093544
312,0.043771044,1.893230196
316,0.044332211,12.40604878
309,0.043350168,7.76312243
309,0.043350168,17.46130928
315,0.044191919,16.11162361
315,0.044191919,35.63467739
318,0.044612795,43.03864247
280,0.039281706,35.31278097
278,0.039001122,50.00002862
332,0.04657688,5.159214347
353,0.049523008,13.60480234
335,0.046997755,36.56741163
328,0.046015713,44.39987592
334,0.046857464,41.58197206
349,0.048961841,19.45209654
385,0.054012346,47.8938373
364,0.051066218,21.33174875
372,0.052188552,24.3373096
368,0.051627385,33.68413643
374,0.052469136,32.80221811
388,0.054433221,38.78825958
360,0.050505051,48.81221039
363,0.050925926,50.00085595
367,0.051487093,27.45896148
376,0.052749719,8.124576014
376,0.052749719,10.895059
384,0.053872054,15.62030623
400,0.056116723,42.22976129
413,0.057940516,38.45830739
375,0.052609428,39.98272743
377,0.052890011,35.72323428
396,0.055555556,27.96008859
416,0.058361392,28.65436736
437,0.06130752,38.44187689
419,0.058782267,48.22850952
439,0.061588103,17.05338364
439,0.061588103,38.01120837
448,0.06285073,46.83764079
478,0.067059484,26.54583708
484,0.067901235,39.70127048
471,0.066077441,48.40914496
500,0.070145903,26.77457092
470,0.065937149,8.087233204
509,0.07140853,28.99956791
492,0.069023569,30.23692983
557,0.078142536,44.69750742
553,0.077581369,25.21019405
538,0.075476992,38.4864783
596,0.083613917,0.309882942
697,0.097783389,36.81735003
755,0.105920314,21.67412801
747,0.10479798,5.037183851
809,0.113496072,38.16147045
799,0.112093154,3.04395732
829,0.116301908,30.76820556
854,0.119809203,23.93695428
867,0.121632997,39.85179548
901,0.126402918,29.78452126
955,0.133978676,9.81732806
1003,0.140712682,5.334637024
1032,0.144781145,0.378416381
1060,0.148709315,7.552501591
1279,0.179433221,28.82520929
1305,0.183080808,3.883830395
1365,0.191498316,34.04496602
1460,0.204826038,11.83089524
1504,0.210998878,36.33632045
1562,0.219135802,33.88078155
1776,0.249158249,41.01815956
1884,0.264309764,24.81576854
1953,0.273989899,11.12862682
2462,0.345398429,34.49638668
2837,0.398007856,0.225794493
3332,0.467452301,15.2331982
3404,0.477553311,1.742263565
3734,0.523849607,31.5505222
3733,0.523709315,47.49377746
3770,0.528900112,19.80219476
3815,0.535213244,25.74318273
3803,0.533529742,24.54675014
3828,0.537037037,27.46754474
3824,0.53647587,26.30623805
3847,0.539702581,34.96518481
3819,0.535774411,36.83787842
3867,0.542508418,31.10648453
3867,0.542508418,31.83740624
3870,0.542929293,31.50915552
3890,0.545735129,14.21077232
3941,0.552890011,27.76562774
3987,0.559343434,26.99253645
4115,0.577300786,30.11506671
4130,0.579405163,22.22956308
4271,0.599186308,7.759631711
4272,0.599326599,0.801151942
4297,0.602833895,30.96740132
4328,0.607182941,11.54078677
4357,0.611251403,9.793129202
