x,y2,xnorm
10475,20.48299557,1
10474,18.60498127,0.999904535
10337,40.28789731,0.986825776
10269,12.55470343,0.980334129
10102,29.7904662,0.964391408
10105,15.25216327,0.964677804
10106,32.81773966,0.96477327
9903,29.87530394,0.945393795
9902,25.8500856,0.945298329
9879,46.51427163,0.943102625
9879,43.41273181,0.943102625
9862,5.786562912,0.941479714
9818,38.08744831,0.937279236
9792,45.22854953,0.934797136
9791,49.49984525,0.934701671
9783,2.208037066,0.933937947
9779,30.79990169,0.933556086
9781,31.86259519,0.933747017
9769,37.43793371,0.932601432
9760,29.58629704,0.931742243
9723,12.76562555,0.928210024
9717,20.47180877,0.927637232
9701,6.673529824,0.926109785
9702,18.57316712,0.926205251
9671,35.93627095,0.923245823
9158,40.53418234,0.874272076
7964,8.226845272,0.760286396
7960,8.578439815,0.759904535
7913,17.51781757,0.755417661
8029,16.14488575,0.766491647
8029,8.482508734,0.766491647
8023,12.20110313,0.765918854
8019,43.1654381,0.765536993
8224,2.74989225,0.785107399
8246,22.57017663,0.787207637
8077,34.96037656,0.771073986
4113,29.75150873,0.392649165
3090,15.04009254,0.294988067
1623,14.91805592,0.154940334
1500,13.64718983,0.143198091
1089,33.30468087,0.103961814
1625,30.58037719,0.155131265
158,21.43575569,0.015083532
107,34.40317771,0.010214797
564,3.691151322,0.053842482
675,35.02428669,0.064439141
683,34.29989897,0.065202864
624,5.788206094,0.059570406
624,5.490212539,0.059570406
633,43.24671439,0.060429594
641,48.70983851,0.061193317
711,33.04352143,0.067875895
713,39.39546691,0.068066826
748,19.80425126,0.071408115
733,13.72283426,0.069976134
736,5.27635058,0.07026253
749,21.92112905,0.07150358
825,0.215552618,0.07875895
835,2.14894964,0.079713604
840,1.997001645,0.080190931
864,10.945598,0.0824821
858,5.418072515,0.081909308
892,0.642128933,0.085155131
896,4.414036857,0.085536993
954,16.51716919,0.091073986
916,3.511721886,0.087446301
929,18.80390874,0.088687351
930,23.10626871,0.088782816
1055,10.74619025,0.10071599
1065,5.241948166,0.101670644
1076,6.78762735,0.102720764
1092,13.98313711,0.10424821
1067,38.3227945,0.101861575
1492,8.391805046,0.142434368
1614,2.828442264,0.154081146
1602,2.648570429,0.152935561
1599,46.11803882,0.152649165
1658,2.402932583,0.158281623
1809,33.53861803,0.172696897
2239,40.19047222,0.213747017
2510,18.53077736,0.239618138
2634,16.45614144,0.251455847
3386,49.165233,0.323245823
3463,13.84716357,0.330596659
3495,24.32601973,0.333651551
3524,34.87188784,0.336420048
3947,32.84145013,0.376801909
4728,0.378207794,0.451360382
4724,6.918989502,0.45097852
4815,15.9470998,0.459665871
5214,26.64643055,0.497756563
5340,25.09439327,0.509785203
5336,25.29962576,0.509403341
5333,25.07861551,0.509116945
5334,43.31011734,0.509212411
5580,9.850773416,0.532696897
5551,0.97326579,0.529928401
5609,19.53672496,0.535465394
5674,44.17629701,0.541670644
5661,37.0510454,0.540429594
5834,21.82535671,0.556945107
5810,27.2702428,0.554653938
5897,7.746911452,0.562959427
5904,7.553386776,0.563627685
5914,7.872311147,0.564582339
5922,14.06278009,0.565346062
5996,45.89319113,0.572410501
5991,45.48897633,0.571933174
6209,33.52415871,0.59274463
6255,19.95389299,0.597136038
6250,16.03362613,0.596658711
6262,40.55931135,0.597804296
6498,9.977938539,0.620334129
6490,46.5488673,0.619570406
7051,8.837341837,0.673126492
7054,10.21539219,0.673412888
7054,12.66352742,0.673412888
7091,22.8698567,0.676945107
7098,31.73289644,0.677613365
7101,39.32471002,0.677899761
7097,21.02674005,0.6775179
7024,41.09481738,0.670548926
7018,42.78830094,0.669976134
6909,1.223631365,0.659570406
6917,2.729724647,0.660334129
6925,34.69582402,0.661097852
6971,28.19342064,0.66548926
6932,16.28479177,0.66176611
6954,14.34705138,0.663866348
6957,32.20794357,0.664152745
6952,32.65579983,0.663675418
6947,33.87765901,0.663198091
6935,49.7489066,0.662052506
7006,22.33916439,0.668830549
7617,48.04009244,0.727159905
7607,46.60901086,0.726205251
7626,38.55909319,0.728019093
7615,38.14558352,0.726968974
7628,41.50423856,0.728210024
7669,30.52142129,0.732124105
7700,45.92670256,0.735083532
7699,39.4410074,0.734988067
7705,48.72021333,0.735560859
7623,14.81518039,0.727732697
7619,2.41153512,0.727350835
7823,2.647841576,0.746825776
7907,33.57275223,0.754844869
7636,31.13961656,0.728973747
7816,41.62105451,0.746157518
8498,16.39530167,0.811264916
9185,45.88005607,0.876849642
9576,34.34895423,0.914176611
9714,31.08583696,0.927350835
9878,17.15814469,0.94300716
9905,25.35804774,0.945584726
10199,3.475250038,0.973651551
10247,22.57970359,0.97823389
8208,44.96404901,0.783579952
8225,10.43593795,0.785202864
8079,19.24538304,0.771264916
8090,40.00733972,0.772315036
5718,37.67274261,0.545871122
2179,29.42925031,0.208019093
2101,0.462672221,0.200572792
1758,6.694474088,0.167828162
1755,3.128539541,0.167541766
1739,2.818738684,0.16601432
1739,1.906108628,0.16601432
965,18.97565873,0.092124105
