x,xnorm,y
19,0.006049029,45.44720792
35,0.011142948,33.52349194
50,0.015918497,34.23881075
62,0.019738937,2.484487786
77,0.024514486,3.880179052
75,0.023877746,13.31946583
77,0.024514486,23.00709601
107,0.034065584,3.467337993
145,0.046163642,23.33627919
188,0.05985355,24.82348812
197,0.062718879,13.46923035
197,0.062718879,38.44092603
108,0.034383954,20.48757367
246,0.078319007,16.95104361
301,0.095829354,14.48662947
377,0.12002547,26.67436742
431,0.137217447,11.54203476
528,0.168099331,9.442349906
669,0.212989494,11.05893848
608,0.193568927,23.73686324
688,0.219038523,5.900090046
691,0.219993633,4.525121111
764,0.243234639,46.29931494
772,0.245781598,46.05255928
779,0.248010188,41.76957839
900,0.286532951,0.770629687
955,0.304043298,29.66036473
1016,0.323463865,3.408916293
1139,0.362623368,38.29338203
1346,0.428525947,38.91982997
1598,0.508755174,10.34377248
277,0.088188475,33.35669815
718,0.228589621,13.47276626
1135,0.361349889,16.51722084
1161,0.369627507,49.05080228
1857,0.591212989,29.11318215
1895,0.603311047,12.55033539
2143,0.682266794,9.858322203
2152,0.685132124,0.672340709
2549,0.811524992,44.04961316
2817,0.896848138,18.2510669
2758,0.878064311,22.96993489
3116,0.992040751,10.76478198
3141,1,15.71499666
1452,0.462273161,33.9428387
1008,0.320916905,37.60137858
982,0.312639287,18.2633466
446,0.141992996,33.31583695
1785,0.568290353,16.6035599
1908,0.607449857,30.50397454
2059,0.655523719,15.03023285
2524,0.803565743,4.858981181
2593,0.82553327,12.72587808
2845,0.905762496,32.18564661
1075,0.342247692,11.21400625
1079,0.343521172,9.618745354
1819,0.579114932,39.86610275
466,0.148360395,9.944678173
873,0.277936963,0.480146516
871,0.277300223,9.430941627
1494,0.475644699,22.65072321
1659,0.52817574,15.17802265
2309,0.735116205,9.066531426
2966,0.944285259,33.08178871
3064,0.975485514,45.72459291
