x,normx,y
54,0.009042197,41.85280623
49,0.008204956,18.89261627
30,0.005023443,11.44092045
72,0.012056263,42.47719547
86,0.014400536,51.87382185
108,0.018084394,36.96592413
103,0.017247153,48.24811478
108,0.018084394,3.700147423
77,0.012893503,5.172923469
150,0.025117214,0.315144823
184,0.030810449,6.154087745
133,0.022270596,27.69678532
286,0.047890154,35.80378922
283,0.04738781,28.84802312
366,0.061286001,23.94366545
392,0.065639652,42.76123421
761,0.127427997,33.3964231
834,0.139651708,39.1360214
1346,0.225385131,27.91051164
1635,0.273777629,16.08324905
2147,0.359511052,33.38065041
2370,0.396851976,1.910633369
2373,0.39735432,3.269792712
2399,0.401707971,17.49963725
2493,0.417448091,36.58813991
2516,0.421299397,12.78824363
2673,0.447588747,6.132511361
2743,0.459310114,8.509641828
2909,0.487106497,0.71366933
3740,0.626255861,36.29608291
3674,0.615204287,22.09669014
3748,0.627595445,35.18700919
3814,0.638647019,2.221560115
3819,0.63948426,2.182658195
4108,0.687876758,5.730331061
4390,0.73509712,27.1322737
4563,0.76406564,11.84425579
5634,0.943402545,22.36407418
5972,1,37.42421655
1499,0.251004689,16.74028967
2182,0.365371735,10.71843498
