x,xnorm,y
49,0.005401235,6.46009174
28,0.00308642,8.91388174
36,0.003968254,17.42688282
33,0.003637566,21.02231643
6,0.000661376,9.647945919
62,0.006834215,42.96134154
67,0.007385362,44.49017236
25,0.002755732,44.10031765
20,0.002204586,46.77178249
27,0.00297619,50.00101456
23,0.002535273,22.78768867
9,0.000992063,11.35377455
50,0.005511464,20.05881974
83,0.00914903,14.30227621
84,0.009259259,14.0913807
82,0.009038801,0.781126544
112,0.012345679,31.8359476
93,0.010251323,40.78923887
37,0.004078483,25.92352356
18,0.001984127,28.84937465
27,0.00297619,28.50341056
25,0.002755732,46.11856871
31,0.003417108,37.62489439
20,0.002204586,5.210361638
70,0.007716049,17.28391818
82,0.009038801,23.44008313
83,0.00914903,27.23315997
98,0.010802469,37.26473661
96,0.010582011,35.32634028
131,0.014440035,46.22566939
98,0.010802469,3.805906804
106,0.011684303,9.603942296
110,0.01212522,12.49248415
125,0.01377866,8.531661214
102,0.011243386,27.24354526
72,0.007936508,21.92735631
117,0.012896825,23.14326365
121,0.013337743,22.48375957
123,0.013558201,24.24673905
127,0.013999118,19.30699026
115,0.012676367,14.6730716
110,0.01212522,26.32230446
144,0.015873016,48.58706803
85,0.009369489,7.772572129
145,0.015983245,10.35960232
160,0.017636684,3.751346608
164,0.018077601,1.744171301
165,0.018187831,4.535062821
182,0.020061728,9.869897422
182,0.020061728,4.04854182
166,0.01829806,14.23018249
163,0.017967372,14.15475305
148,0.016313933,16.60357988
153,0.016865079,50.00000328
162,0.017857143,44.58944353
162,0.017857143,17.84898144
189,0.020833333,44.45123284
230,0.025352734,44.22836436
200,0.022045855,16.8838953
233,0.025683422,14.43856795
229,0.025242504,7.216271094
267,0.029431217,6.840171102
277,0.03053351,15.25739283
261,0.028769841,20.72525469
207,0.02281746,27.71657009
317,0.034942681,27.61351625
329,0.036265432,11.21245941
364,0.040123457,6.058854819
367,0.040454145,28.29248319
435,0.047949735,23.08124431
462,0.050925926,39.75954465
409,0.045083774,42.5299356
407,0.044863316,17.61710347
526,0.0579806,3.187365054
541,0.059634039,36.41441245
473,0.052138448,3.81404958
594,0.06547619,21.82969781
581,0.06404321,24.23536594
604,0.066578483,41.23187227
575,0.063381834,43.2328882
566,0.062389771,32.87386476
599,0.066027337,8.457617449
603,0.066468254,8.663737478
585,0.064484127,7.016364401
625,0.068893298,22.34179997
636,0.07010582,35.50938925
638,0.070326279,36.66542261
617,0.068011464,4.242405278
629,0.069334215,4.446855068
