Image,Lat,Long,Abslat,Nominal,Preferred,FirstPick,Length,Azimuth,PC_Azimuth,Cos_PC_Azimuth,num_mapped_boulders,LDA_relief,Min_LDA_elev,Max_LDA_elev,Max_scarp_elev,Dist_LDA_Scarp,scarp_slope,LDA_slope,phase_angle,Craters + CLF,Brain Terrain? (Y/N),Polygons?(Y/N),Scarp_cluster,Moraine_like_cluster,ASD_like_bands,ASD_num
A_PSP_007693_2300_PSP_008550_2300,49.573,286.336,49.573,12,5,5,6200.1,115.67,115.67,-0.433187222,7583,393,-3281,-2888,-2008,2300,0.383,0.063,51.9,16,N,Y,Y,Y,Y,8
B_PSP_004167_1400b,-39.604,87.912,39.604,8,6,5,4649.72,92.78,272.78,0.048501118,692,143,-5186,-5043,-4949,953,0.099,0.031,56.5,1,Y,Y,N,Y,Y,5
C_ESP_016471_2260_ESP_016194_2260,45.696,33.444,45.696,5,4,3,2944.4,129.7,129.7,-0.638767818,811,249,-2546,-2297,-2192,1520,0.069,0.085,44,6,N,Y,N,Y,Y,4
D_ESP_028324_2145_ESP_028601_2145,34.171,73.621,34.171,10,7,5,1416.51,123.04,123.04,-0.545224405,1429,194,-2263,-2069,-2007,358,0.173,0.137,53.6,27,N,N,Y,Y,Y,9
D2,34.22,73.636,34.22,3,2,3,1067,215.1,215.1,-0.818149717,715,57,-2301,-2244,-2129,888,0.13,0.053,53.6,27,Y,N,Y,Y,Y,7
D3,34.187,73.662,34.187,5,5,5,1543,265.2,265.2,-0.083677843,433,48,-2306,-2258,-2233,519,0.048,0.031,53.6,27,N,N,N,Y,Y,4
D4,34.15,73.625,34.15,10,10,4,1657,334.086,334.086,0.899451021,1193,101,-2273,-2172,-2050,518,0.236,0.061,53.6,27,N,N,Y,Y,Y,6
D5,34.147,73.592,34.147,10,5,4,1580,16.8,16.8,0.957319498,871,59,-2251,-2192,-2168,283,0.085,0.037,53.6,27,N,N,Y,N,Y,5
E_ESP_015979_1415_PSP_007250_1415,-38.351,155.371,38.351,14,4,6,3371,176.9,176.9,-0.99853667,6167,122,695,817,1267,1395,0.323,0.036,56,13,N,N,Y,Y,Y,8
F_ESP_023937_2240_PSP_010487_2240,43.462,319.42,43.462,21,5,4,7845,343.1,343.1,0.956813584,4118,806,-4651,-3845,-3845,0,N/A,0.103,47.5,0,Y,Y,Y,N,Y,4
